Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
UT,"Dec 14 - Dec 27, 2020",10,Statewide,Statewide,3045350,66,777,,,,432,22.5,17.65,27.91,0,372,12.3,8.48,16.15,0,285,14.4,9.85,19.03,0,437,17.5,12.04,24.23,0,718,22,16.37,28.06,0,1155,19.7,16.11,24.18,0,599934,490606,736366,true,false
VA,"Dec 10 - Dec 23, 2020",10,Statewide,Statewide,8413774,21,777,,,,429,8.8,5.74,11.98,0,391,3.8,1.96,5.93,0,376,3.7,1.34,6.82,0,432,4.6,1.81,7.81,0,785,6.8,4.18,10.92,0,1217,5.7,3.78,8.54,0,479585,318041,718536,false,false
VT,"Dec 14 - Dec 24, 2020",10,Statewide,Statewide,624977,9,777,,,,177,0.8,0,2.77,1,107,2.4,0,6.42,1,62,777,,,,119,2.8,0,6.43,1,236,0,0,1.55,2,355,1.4,0,3.17,1,8750,0,19812,false,true
WA,"Dec 11 - Dec 15, 2020",10,Statewide,Statewide,7294336,52,777,,,,318,4.8,2.13,7.78,0,320,2.8,1.14,5.14,0,329,2,0.58,3.78,0,442,6.8,2.72,11.51,0,577,3.1,1.2,5.69,0,1019,5,2.7,7.76,0,364717,196947,566040,true,false
WI,"Dec 14 - Dec 27, 2020",10,Statewide,Statewide,5778394,49,777,,,,386,27.7,22.26,33.12,0,281,16.8,11.98,22.2,0,176,16.5,9.91,23.86,0,385,24.3,17.6,31.29,0,507,23.8,19.16,29.21,0,892,24,19.81,28.42,0,1386815,1144700,1642220,true,false
WV,"Dec 10 - Dec 26, 2020",10,Statewide,Statewide,1829054,15,777,,,,266,6.7,3.75,10.18,0,250,4,1.65,6.84,0,202,7.3,3.34,11.21,0,308,7.4,4.15,11.03,0,425,4.5,2.31,7.04,0,733,5.9,3.93,8.11,0,107914,71882,148336,false,false
WY,"Dec 14 - Dec 24, 2020",10,Statewide,Statewide,581836,8,777,,,,57,777,,,,54,777,,,,43,777,,,,54,777,,,,108,21.8,12.45,33.1,0,162,18.5,11.19,26.47,0,107640,65107,154012,true,false
AK,"Dec 23, 2020 -  Jan 9, 2021",11,Statewide,Statewide,738516,41,777,,,,475,13.4,9.59,17.29,0,318,14.2,10.08,19.31,0,310,8.8,5.19,12.83,0,448,8.7,6.06,11.78,0,696,11.8,8.69,15.62,0,1144,10.2,8.11,12.54,0,75329,59894,92610,true,false
AL,"Dec 28, 2020 -  Jan 8, 2021",11,Statewide,Statewide,4864680,137,29.2,20.68,37.77,0,433,22.2,18.57,26.35,0,381,14.7,11.22,18.57,0,434,10.5,7.5,13.48,0,586,20.5,16.77,24.36,0,799,20.3,16.37,23.76,0,1385,20.4,18.07,23.06,0,992395,879048,1121795,true,false
AR,"Dec 28, 2020 - Jan 10, 2021",11,Statewide,Statewide,2990671,166,20.9,14.64,27.64,0,414,13.7,10.25,17.43,0,354,11.5,8.23,15.25,0,367,6.2,3.69,9.23,0,571,13.2,9.99,16.69,0,730,14.3,11.4,17.52,0,1301,13.8,11.74,15.98,0,412713,351105,477909,true,false
AZ,"Dec 28, 2020 -  Jan 7, 2021",11,Statewide,Statewide,6946685,185,22.9,16.73,30.01,0,408,19.5,15.61,23.77,0,327,9.1,6.1,12.57,0,371,10.8,7.55,14.1,0,544,16.3,12.89,20.26,0,747,17.6,14.58,20.92,0,1291,17,14.73,19.22,0,1180936,1023247,1335153,true,false
CA,"Dec 28, 2020 - Jan 10, 2021",11,Statewide,Statewide,39148760,285,17.4,13.14,21.84,0,315,18.4,14.04,22.66,0,347,14.1,10.09,18.32,0,264,11.2,7.87,15.18,0,525,15.4,11.96,18.99,0,686,17.3,13.89,20.59,0,1211,16.4,14.06,18.96,0,6420397,5504316,7422605,true,false
CO,"Dec 25, 2020 -  Jan 6, 2021",11,Statewide,Statewide,5531141,170,16.6,9.55,25.81,0,370,13.4,8.77,18.49,0,382,8.9,5.35,13.07,0,397,8.7,4.68,13.91,0,571,11.3,7.42,16.21,0,748,13.9,10.09,18.29,0,1319,12.6,9.88,15.61,0,696924,546477,863411,true,false
CT,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,3581504,324,9.7,6.4,13.02,0,316,7.3,4.23,10.61,0,324,8.4,5.42,11.41,0,323,7.5,4.78,10.54,0,550,9.7,6.92,12.42,0,737,6.5,4.57,8.66,0,1287,8.1,6.42,9.65,0,290102,229933,345615,true,false
DC,"Dec 28, 2020 -  Jan 6, 2021",11,Statewide,Statewide,684498,47,777,,,,527,15.4,12.54,18.62,0,232,11.8,7.47,16.26,0,259,10.1,6.45,13.86,0,409,14.6,10.78,18.99,0,656,14.5,11.32,17.77,0,1065,14.6,11.9,17.14,0,99937,81455,117323,true,false
DE,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,949495,165,15,8.84,21.64,0,453,11.1,7.87,14.17,0,353,7.2,4.67,10.16,0,325,4.3,2.35,6.59,0,459,10.7,7.64,14.16,0,837,9.2,7.16,11.37,0,1296,9.9,8.02,11.91,0,94000,76149,113085,true,false
FL,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,20598139,330,21.2,16.82,25.6,0,332,22.7,17.59,27.79,0,325,14.7,10.55,18.54,0,330,11.5,7.62,15.27,0,521,18.2,14.39,21.93,0,796,18.9,15.95,21.91,0,1317,18.6,16.21,20.93,0,3831254,3338958,4311190,true,false
GA,"Dec 27 - Dec 31, 2020",11,Statewide,Statewide,10297484,320,22.5,16.87,27.97,0,325,22.1,16.94,27.84,0,326,19.1,13.68,24.44,0,324,7.3,4.42,10.6,0,568,22.2,17.81,26.54,0,727,17.3,13.35,21.03,0,1295,19.7,16.78,22.54,0,2028604,1727918,2321053,true,false
HI,"Dec 23, 2020 -  Jan 9, 2021",11,Statewide,Statewide,1422029,48,777,,,,326,2.6,0.86,4.53,0,333,4.1,1.81,6.7,0,461,1.4,0.32,2.87,0,405,1.6,0.54,2.92,0,763,3.9,1.92,6.84,0,1168,2.8,1.61,4.3,0,39817,22895,61147,true,false
IA,"Dec 26, 2020 -  Jan 8, 2021",11,Statewide,Statewide,3132499,39,777,,,,480,20.5,16.79,24.4,0,331,22.3,18,27.07,0,176,7.8,3.83,12.12,0,503,20.6,15.21,26.76,0,523,20.7,15.68,26.44,0,1026,20.6,16.88,24.62,0,645295,528766,771221,true,false
ID,"Dec 24, 2020 -  Jan 9, 2021",11,Statewide,Statewide,1687809,34,777,,,,312,18.9,13.47,24.6,0,199,12.6,7.38,18.58,0,237,12.2,7.27,17.59,0,325,14.2,8.81,19.99,0,457,16.6,11.49,22.35,0,782,15.4,11.71,19.46,0,259923,197642,328448,true,false
IL,"Dec 28, 2020 -  Jan 7, 2021",11,Statewide,Statewide,12821497,386,31.6,26.3,37.13,0,297,32.6,26.32,38.92,0,308,28.2,22.79,33.66,0,365,11.5,8.62,14.94,0,549,26.3,21.84,30.48,0,807,30.4,26.04,34.94,0,1356,28.4,25.35,31.34,0,3641305,3250249,4018257,true,false
IN,"Dec 26, 2020 -  Jan 7, 2021",11,Statewide,Statewide,6637426,5,777,,,,244,18.9,13.65,25.41,0,107,8.6,3.28,15.83,0,68,777,,,,102,11.8,5.36,19.47,0,322,19.3,14.56,24.07,0,424,15.6,11.65,20.24,0,1035438,773260,1343415,true,false
KS,"Dec 26, 2020 -  Jan 7, 2021",11,Statewide,Statewide,2908776,150,14.2,8.47,20.28,0,391,15.4,11.62,19.32,0,397,15.9,11.58,20.29,0,377,8.4,5.64,11.54,0,560,15.5,11.52,19.12,0,755,12.8,9.69,16.05,0,1315,14.2,11.48,16.61,0,413046,333927,483148,true,false
KY,"Dec 28, 2020 - Jan 10, 2021",11,Statewide,Statewide,4440204,191,15.2,9.64,20.75,0,398,13.7,10.02,17.75,0,387,14.8,11.12,18.73,0,401,9,5.87,12.39,0,598,15,11.62,18.52,0,779,12.1,9.27,15.15,0,1377,13.5,11.39,15.84,0,599428,505739,703328,true,false
LA,"Dec 24, 2020 -  Jan 6, 2021",11,Statewide,Statewide,4663616,258,21.8,14.84,28.8,0,369,11.4,7.56,15.51,0,337,10.8,6.6,15.52,0,337,8.3,5.12,11.54,0,503,13.6,10.03,17.48,0,798,13,9.55,17.13,0,1301,13.3,10.5,15.88,0,620261,489680,740582,true,false
MA,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,6830193,147,9.6,4.59,15.07,0,384,10.1,6.8,13.67,0,377,9.1,6.04,12.35,0,378,8.4,5.54,11.48,0,541,11.9,8.74,15.43,0,745,7.3,5.14,9.77,0,1286,9.5,7.49,11.49,0,648868,511581,784789,true,false
MD,"Dec 24, 2020 -  Jan 7, 2021",11,Statewide,Statewide,6003435,61,777,,,,319,21.1,16.73,25.76,0,306,9.5,6.22,13.28,0,266,7,4.26,10.66,0,377,18.8,13.75,23.83,0,575,15,11.17,19.11,0,952,16.8,13.82,20.31,0,1008577,829675,1219298,true,false
ME,"Dec 28, 2020 -  Jan 8, 2021",11,Statewide,Statewide,1332813,21,777,,,,246,3.5,1.43,5.86,0,159,1.4,0,3.35,1,164,3.3,0.67,6.61,0,242,2.1,0.44,4.21,0,348,2.9,1.11,4.95,0,590,2.5,1.35,3.98,0,33320,17993,53046,false,true
MI,"Dec 28, 2020 - Jan 10, 2021",11,Statewide,Statewide,9957488,60,777,,,,436,22.9,18.67,27.21,0,410,11.7,8.77,14.97,0,352,8.7,5.66,11.83,0,497,15.3,11.14,20.2,0,761,19.5,15.64,23.8,0,1258,17.5,14.47,20.16,0,1742560,1440849,2007430,true,false
MN,"Dec 22, 2020 -  Jan 7, 2021",11,Statewide,Statewide,5527358,159,11.7,6.43,17.04,0,445,16.9,12.93,20.96,0,373,17.3,12.57,23.02,0,318,18.1,12.81,23.59,0,499,16.3,12.44,20.17,0,796,15.6,12.05,19.13,0,1295,15.9,13.25,18.62,0,878850,732375,1029194,true,false
MO,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,6090062,123,17.4,8.84,26.59,0,534,19.6,15.17,24.58,0,542,16.8,12.26,21.26,0,385,9.5,5.41,13.85,0,668,17.9,13.28,22.72,0,916,16,12.24,19.9,0,1584,16.9,13.83,20.2,0,1029220,842256,1230193,true,false
MS,"Dec 28, 2020 - Jan 10, 2021",11,Statewide,Statewide,2988762,136,26.1,18.52,33.75,0,473,20.7,16.9,24.46,0,393,21,16.86,25.47,0,334,13.5,9.76,17.89,0,516,23.3,19.01,27.79,0,820,18.8,15.64,21.94,0,1336,21,18.29,23.67,0,627640,546645,707440,true,false
MT,"Dec 25, 2020 -  Jan 8, 2021",11,Statewide,Statewide,1041732,15,777,,,,166,21,14.68,28.09,0,157,19.4,13.6,26.2,0,142,9.5,4.96,14.09,0,210,21.8,15.22,28.86,0,270,15,10.17,20.61,0,480,18.4,14.46,22.8,0,191679,150634,237515,true,false
NC,"Dec 29, 2020 -  Jan 7, 2021",11,Statewide,Statewide,10155624,338,12.9,9.22,16.73,0,353,16.5,12.48,20.2,0,393,9.5,6.13,12.63,0,383,6.2,3.61,8.95,0,681,16,12.72,19.44,0,786,9.6,7.09,12.15,0,1467,12.7,10.73,14.68,0,1289764,1089698,1490846,true,false
ND,"Dec 28, 2020 -  Jan 8, 2021",11,Statewide,Statewide,752201,0,666,,,,2,777,,,,2,777,,,,8,777,,,,4,777,,,,8,777,,,,12,777,,,,,,,false,
NE,"Dec 26, 2020 -  Jan 9, 2021",11,Statewide,Statewide,1904760,80,24.9,14.5,36.16,0,572,21.7,18.21,25.41,0,381,17.7,13.6,22.18,0,228,17.1,11.48,23.01,0,656,17.8,14.27,22.02,0,605,24.3,18.83,29.82,0,1261,21.1,17.7,24.36,0,401904,337143,464000,true,false
NH,"Dec 28 - Dec 31, 2020",11,Statewide,Statewide,1343622,47,777,,,,449,5.1,3.13,7.4,0,498,3.8,1.98,5.65,0,304,3.9,1.65,6.53,0,581,4.3,2.25,6.65,0,717,5.3,2.8,8.39,0,1298,4.8,3.17,6.78,0,64494,42593,91098,true,false
NJ,"Dec 24, 2020 -  Jan 7, 2021",11,Statewide,Statewide,8881845,144,26,18.59,33.98,0,374,21.8,17.41,27.04,0,331,15.4,11.85,19.41,0,293,11.9,7.77,16.05,0,451,22.4,17.98,26.96,0,691,17.4,14.41,20.49,0,1142,19.8,17.19,22.57,0,1758605,1526789,2004632,true,false
NM,"Dec 22, 2020 -  Jan 6, 2021",11,Statewide,Statewide,2092434,87,16,7.98,27.13,0,402,19.8,15.25,24.23,0,403,13,9.37,17.18,0,408,10.7,7.14,14.62,0,527,16.3,11.68,21.31,0,773,15.9,12.15,19.5,0,1300,16.1,13.28,19.31,0,336882,277875,404049,true,false
NV,"Dec 28, 2020 -  Jan 7, 2021",11,Statewide,Statewide,2922849,167,24.5,17.38,32.23,0,416,21.7,17.98,25.58,0,416,17.2,13.43,20.95,0,435,7,4.41,9.58,0,599,18.2,14.63,22.34,0,835,20.4,17.52,23.58,0,1434,19.3,16.89,21.96,0,564110,493669,641858,true,false
NY,"Dec 24, 2020 -  Jan 6, 2021",11,Statewide,Statewide,19618453,359,9.1,6,12.18,0,315,16.6,12.03,21.71,0,331,12,8.45,15.8,0,310,8.8,5.42,12.28,0,600,12.3,8.78,15.92,0,715,13.4,10.64,16.37,0,1315,12.9,10.73,15.13,0,2530780,2105060,2968272,true,false
OH,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,11641879,291,24.9,19.48,29.92,0,389,30.5,25.97,35.56,0,369,18.3,14.15,22.49,0,415,12.3,8.7,15.88,0,688,28.9,24.66,32.79,0,776,18.8,15.93,21.94,0,1464,23.8,21.09,26.22,0,2770767,2455272,3052501,true,false
OK,"Dec 28 - Dec 31, 2020",11,Statewide,Statewide,3918137,91,15.1,7.12,23.32,0,326,11.6,7.72,15.53,0,324,13.9,9.78,17.82,0,557,9.2,6.62,11.77,0,515,14,9.21,18.84,0,783,11.1,8.35,14.15,0,1298,12.5,9.95,15.23,0,489767,389855,596732,true,false
OR,"Dec 24, 2020 -  Jan 9, 2021",11,Statewide,Statewide,4081943,131,12.9,6.69,19.13,0,770,5.9,4.08,7.95,0,461,4.9,2.64,7.41,0,322,5.9,2.79,9.57,0,746,7.3,4.85,10.04,0,938,7.2,4.81,9.5,0,1684,7.2,5.54,9,0,293900,226140,367375,true,false
PA,"Dec 28, 2020 - Jan 10, 2021",11,Statewide,Statewide,12791181,385,17,12.6,21.01,0,393,21.4,16.01,28.7,0,341,13.5,9.47,18.22,0,389,8.2,5.1,11.58,0,604,19.2,15.07,24.24,0,904,13.9,11.01,17.87,0,1508,16.5,13.94,19.55,0,2110545,1783091,2500676,true,false
PR,"Dec 28, 2020 -  Jan 8, 2021",11,Statewide,Statewide,3386941,277,4.8,2.25,7.81,0,372,11.3,8.01,15.07,0,325,6.1,3.01,9.7,0,326,11.1,7.37,15.38,0,533,10.2,7.2,13.24,0,767,7.8,5.72,10.03,0,1300,8.9,7.05,10.81,0,301438,238779,366128,true,false
RI,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,1056611,74,777,,,,392,13.3,9.69,17.33,0,295,13.3,9.26,18.23,0,261,8.9,5.24,13,0,445,11,7.68,14.77,0,577,11.8,8.99,15.11,0,1022,11.4,9.2,13.69,0,120454,97208,144650,true,false
SC,"Dec 30, 2020 -  Jan 9, 2021",11,Statewide,Statewide,4955925,244,17.7,12.5,23.13,0,433,16.7,13.46,20.1,0,218,12.8,8.39,17.18,0,238,6.1,3.36,9.68,0,444,13.3,10.22,16.69,0,689,15.3,12.61,18.27,0,1133,14.4,12.13,16.5,0,713653,601154,817728,true,false
SD,"Dec 28, 2020 -  Jan 8, 2021",11,Statewide,Statewide,864289,3,777,,,,18,777,,,,7,777,,,,19,777,,,,16,777,,,,31,777,,,,47,777,,,,,,,false,
TN,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,6651089,159,22.6,15.76,30.69,0,407,19.4,15.61,23.55,0,390,16.2,12.32,20.24,0,369,10.9,7.57,14.38,0,509,19.1,15.15,23.46,0,816,17.3,14.47,20.29,0,1325,18.2,15.74,20.87,0,1210498,1046881,1388082,true,false
TX,"Dec 23, 2020 -  Jan 7, 2021",11,Statewide,Statewide,27885195,91,19.2,9.21,29.95,0,506,23.6,19.39,27.93,0,472,18.7,14.85,22.94,0,444,11.6,7.9,15.59,0,605,21.7,16.36,27.26,0,908,18.7,13.94,23.01,0,1513,20.2,16.69,23.57,0,5632809,4654039,6572540,true,false
UT,"Dec 28, 2020 -  Jan 7, 2021",11,Statewide,Statewide,3045350,58,777,,,,498,19.4,15.18,23.5,0,293,15.3,10.55,19.95,0,215,9.9,5.87,14.62,0,369,14.3,10.14,19.96,0,695,20.5,14.96,26.94,0,1064,17.4,13.46,21.69,0,529891,409904,660536,true,false
VA,"Dec 24, 2020 -  Jan 7, 2021",11,Statewide,Statewide,8413774,16,777,,,,328,11,7.66,14.85,0,294,8.5,5,12.64,0,270,3.5,1.43,5.96,0,330,6,2.9,10.08,0,578,11.3,6.82,15.06,0,908,8.7,5.85,11.63,0,731998,492206,978522,false,false
VT,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,624977,6,777,,,,178,1.6,0,4.28,1,106,1.2,0,4.45,1,107,1.5,0,4.73,1,151,1.8,0,4.63,1,246,1.1,0,2.73,1,397,1.4,0.23,3.22,0,8750,1437,20124,false,true
WA,"Dec 23, 2020 -  Jan 8, 2021",11,Statewide,Statewide,7294336,128,5,0.71,10.15,0,326,5.3,2.89,8.44,0,326,4.8,2.24,8.15,0,317,5.1,2.66,8.06,0,498,6,3.48,9.18,0,599,4.2,2.26,6.32,0,1097,5.1,3.48,7.05,0,372011,253843,514251,true,false
WI,"Dec 28, 2020 - Jan 10, 2021",11,Statewide,Statewide,5778394,77,34.5,22.21,46.28,0,445,30.2,24.73,35.48,0,377,23.6,19.07,28.78,0,301,15,10.92,20.05,0,524,28.7,23.2,34.75,0,676,26,21.16,30.82,0,1200,27.3,23.74,30.87,0,1577502,1371791,1783790,true,false
WV,"Dec 25, 2020 -  Jan 9, 2021",11,Statewide,Statewide,1829054,24,777,,,,307,6.2,3.24,9.11,0,261,9.5,5.59,13.74,0,306,6.8,3.69,10.06,0,375,8.2,3.89,14.04,0,523,8.8,5.28,13.34,0,898,8.5,5.38,12,0,155470,98403,219486,true,false
WY,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,581836,8,777,,,,44,777,,,,32,777,,,,55,777,,,,40,777,,,,99,20.5,9.97,32.32,0,139,20.9,10.99,32.39,0,121604,63944,188457,true,false
AK,"Jan 8 - Jan 23, 2021",12,Statewide,Statewide,738516,33,777,,,,587,17.9,14.23,21.47,0,414,13.1,9.42,17.23,0,265,8.9,5.36,13.21,0,534,11.3,8.53,15.1,0,765,17.1,12.18,22.67,0,1299,14.1,11.15,17.33,0,104131,82345,127985,true,false
AL,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,4864680,168,27.2,20.34,33.98,0,383,22.6,18.38,27.08,0,417,17.3,13.38,21.36,0,369,12.6,9.39,15.88,0,575,19.9,15.68,23.53,0,762,22,18.6,25.48,0,1337,20.9,18.21,23.41,0,1016718,885858,1138822,true,false
AR,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,2990671,276,23.7,18.27,29.29,0,368,15.2,11.28,19.2,0,362,18.5,14.49,23.05,0,362,11.4,8.2,15.4,0,578,18,14.91,21.67,0,790,16.4,13.49,19.37,0,1368,17.2,15.1,19.61,0,514395,451591,586471,true,false
AZ,"Jan 11 - Jan 19, 2021",12,Statewide,Statewide,6946685,222,35.1,29.13,41.9,0,490,23.9,19.85,28.12,0,560,17,13.88,20.11,0,477,10.7,7.85,13.87,0,738,22.7,19.19,26.31,0,1011,23.4,20.14,26.66,0,1749,23.1,20.76,25.44,0,1604684,1442132,1767237,true,false
CA,"Jan 11 - Jan 15, 2021",12,Statewide,Statewide,39148760,187,24,17.71,30.77,0,321,19.3,15.04,23.7,0,323,15.8,11.74,19.96,0,177,7.2,3.11,11.13,0,420,16.9,13.43,21.13,0,587,19.4,15.64,22.91,0,1008,18.1,15.45,20.77,0,7085926,6048483,8131197,true,false
CO,"Jan 7 - Jan 18, 2021",12,Statewide,Statewide,5531141,165,20.7,13.21,29.57,0,385,13.7,10.29,17.04,0,384,14.9,11.19,19.46,0,380,10.5,6.46,15.78,0,623,15.4,12.26,19.02,0,691,14.8,11.13,19.07,0,1314,15.1,12.5,17.91,0,835202,691393,990627,true,false
CT,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,3581504,325,14.2,10.34,18.08,0,322,10.2,6.73,14.02,0,320,5.5,3.01,7.97,0,324,12.3,8.11,16.29,0,544,11.5,8.24,15.11,0,747,9.3,6.97,11.54,0,1291,10.3,8.25,12.34,0,368895,295474,441958,true,false
DC,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,684498,86,12.5,5.47,19.98,0,345,17.7,13.35,22.22,0,337,11.4,7.73,15.4,0,447,10.9,7.88,14.15,0,477,14.2,10,18.63,0,738,15.7,12.21,19.25,0,1215,15,12.48,17.68,0,102675,85425,121019,true,false
DE,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,949495,120,28.4,20.3,36.92,0,376,15.1,10.97,19.71,0,392,11.8,8.17,15.75,0,328,5.3,2.97,7.92,0,432,17.9,13.89,22.31,0,784,13.4,10.77,16.28,0,1216,15.6,13.16,18.33,0,148121,124954,174042,true,false
FL,"Jan 11 - Jan 15, 2021",12,Statewide,Statewide,20598139,320,18.7,14.27,23.27,0,324,26.9,21.78,31.89,0,327,12,8.66,15.66,0,326,11,7.74,14.75,0,524,19.5,15.53,23.14,0,773,18.7,15.71,21.64,0,1297,19.1,16.74,21.61,0,3934245,3448128,4451258,true,false
GA,"Jan 7 - Jan 18, 2021",12,Statewide,Statewide,10297484,331,25.6,19.8,32.07,0,330,23.3,17.9,29.43,0,331,16.3,11.82,21.73,0,330,11.4,7.46,16.34,0,559,22.2,17.65,27.06,0,763,19.8,16.2,24,0,1322,21,17.96,24.1,0,2162472,1849428,2481694,true,false
HI,"Jan 4 - Jan 23, 2021",12,Statewide,Statewide,1422029,40,777,,,,331,5.9,3.17,9,0,378,2.4,0.75,4.31,0,553,1.9,0.74,3.34,0,500,4.3,1.59,8.14,0,802,3.5,1.98,5.33,0,1302,3.9,2.26,6.1,0,55459,32138,86744,true,false
IA,"Jan 8 - Jan 23, 2021",12,Statewide,Statewide,3132499,43,777,,,,595,21.5,17.92,24.78,0,387,26.6,22.42,30.88,0,215,13.2,8.28,17.94,0,567,28.7,21.87,34.91,0,673,20.3,15.9,25.06,0,1240,24.4,20.57,28.59,0,764330,644355,895581,true,false
ID,"Jan 6 - Jan 23, 2021",12,Statewide,Statewide,1687809,32,777,,,,598,18.7,14.83,22.15,0,356,24.4,18.44,30.79,0,332,16.3,11.38,21.98,0,480,21.2,14.83,28.29,0,838,22.9,16.92,30.66,0,1318,22,17.72,27.2,0,371318,299080,459084,true,false
IL,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,12821497,337,32.9,26.82,40.76,0,605,31.2,27.2,35.56,0,542,25.5,20.69,30.31,0,534,16,12.54,19.46,0,748,26.8,22.64,30.77,0,1270,29.6,26.67,32.63,0,2018,28.2,25.72,30.75,0,3615662,3297689,3942610,true,false
IN,"Jan 7 - Jan 20, 2021",12,Statewide,Statewide,6637426,22,777,,,,530,22.2,17.17,27.42,0,185,13,6.13,21.08,0,159,16.9,9,26.37,0,207,22.7,12.3,35.02,0,689,19.6,14.93,25.78,0,896,21.1,15.48,28.22,0,1400497,1027474,1873082,true,false
KS,"Jan 7 - Jan 19, 2021",12,Statewide,Statewide,2908776,166,17,10.02,24.42,0,391,21.1,16.92,25.48,0,389,16.5,12.26,20.76,0,361,9.8,6.28,13.39,0,562,18.4,14.47,22.59,0,745,16.6,13.03,20.03,0,1307,17.5,14.76,20.06,0,509036,429335,583500,true,false
KY,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,4440204,354,17.8,13.73,21.77,0,409,16.2,12.23,20.13,0,409,13.8,10.19,17.82,0,410,9.4,6.4,12.39,0,665,14.7,11.8,17.99,0,917,15.3,12.91,18.16,0,1582,15,12.79,17.21,0,666031,567902,764159,true,false
LA,"Jan 8 - Jan 21, 2021",12,Statewide,Statewide,4663616,321,22.7,16.58,29.46,0,325,12.9,9.09,16.99,0,324,13.7,9.44,18.79,0,326,10.1,6.41,14.02,0,537,13.6,10.34,17.29,0,759,16.3,13.14,19.91,0,1296,15,12.55,17.49,0,699542,585284,815666,true,false
MA,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,6830193,174,14.3,9.23,19.99,0,373,9.8,6.8,13.35,0,372,8.8,5.72,12.32,0,372,7.6,4.94,10.66,0,557,10.3,7.49,13.05,0,734,10,7.74,12.6,0,1291,10.2,8.21,12.15,0,696680,560759,829868,true,false
MD,"Jan 7 - Jan 21, 2021",12,Statewide,Statewide,6003435,83,30.6,20.05,42.36,0,418,30.1,25.28,34.65,0,405,9.8,6.77,13.21,0,399,3.4,1.54,5.45,0,495,25.4,20.13,30.38,0,810,19.1,15.32,23.26,0,1305,22.1,18.83,25.32,0,1326759,1130447,1520070,true,false
ME,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,1332813,28,777,,,,279,3.2,1.06,5.74,0,212,3.3,0.66,6.51,0,177,1.4,0,3.15,1,285,2.4,0.62,4.96,0,411,3.5,1.17,7.25,0,696,3,1.37,4.9,0,39984,18260,65308,true,true
MI,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,9957488,76,14.3,6.09,23.37,0,402,21.8,18.1,25.95,0,380,15.6,11.87,19.61,0,377,13.1,9.83,16.97,0,452,15.8,11.51,20.76,0,783,19,15.6,22.06,0,1235,17.4,14.71,20.17,0,1732603,1464746,2008425,true,false
MN,"Jan 7 - Jan 19, 2021",12,Statewide,Statewide,5527358,150,16.6,9.92,23.79,0,436,15.8,11.43,20.41,0,384,16.3,11.83,21.04,0,312,16.7,11.45,21.99,0,516,15.8,12.15,19.98,0,766,16.5,13.34,20.09,0,1282,16.2,13.41,18.79,0,895432,741219,1038591,true,false
